epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.974,3.02826,9.56122,2.61404,0.00029,0.0023,0.00015,4e-05,2.4171,11.223,2.56749,3.915e-05,3.915e-05,3.915e-05
2,195.615,2.779,6.08824,2.43497,0.00029,0.0023,0.00015,4e-05,2.49665,26.1021,2.42551,8.18318e-05,8.18318e-05,8.18318e-05
3,285.436,2.69329,5.481,2.30648,0.00099,0.00871,0.00053,0.00014,2.46437,10.2656,2.3353,0.000123652,0.000123652,0.000123652
4,372.815,2.57579,4.85307,2.20488,0.85273,0.01947,0.00411,0.00126,2.78834,6.949,2.59696,0.000164611,0.000164611,0.000164611
5,457.916,2.41007,4.51671,2.10245,0.7051,0.01076,0.00516,0.00185,2.52925,6.75936,2.31632,0.000204709,0.000204709,0.000204709
6,540.834,2.39456,4.09972,2.0737,0.63022,0.01971,0.00646,0.00182,2.51353,6.54605,2.2909,0.000243946,0.000243946,0.000243946
7,623.602,2.27687,3.83459,2.00782,0.55743,0.0188,0.00826,0.00216,2.56549,5.75349,2.44693,0.000282321,0.000282321,0.000282321
8,705.842,2.31543,3.99111,2.10161,0.63319,0.01607,0.01182,0.00314,2.52889,5.0124,2.53814,0.000319835,0.000319835,0.000319835
9,788.146,2.24241,3.81338,2.04681,0.79554,0.01601,0.01211,0.00339,2.5446,5.47503,2.81607,0.000356488,0.000356488,0.000356488
10,870.352,2.26822,3.62191,2.07443,0.40136,0.01904,0.00639,0.00174,2.52464,4.64804,2.66201,0.000392279,0.000392279,0.000392279
11,951.439,2.26737,3.53064,2.07032,0.39399,0.0243,0.0059,0.00195,2.58852,4.96484,2.6863,0.000391935,0.000391935,0.000391935
12,1033.86,2.17718,3.28807,2.00953,0.23977,0.0288,0.00558,0.00137,2.33065,5.00101,2.41535,0.000387629,0.000387629,0.000387629
