epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.42,2.78728,6.06757,2.47382,0.00329,0.01786,0.00309,0.00104,3.25763,12.928,2.6624,0.000140735,0.000140735,0.000140735
2,661.397,2.4585,4.34318,2.19772,0.14571,0.02206,0.00108,0.00049,3.0402,13.453,2.64613,0.000282907,0.000282907,0.000282907
3,979.599,2.17279,3.64562,2.04066,0.43107,0.00213,0.00069,0.00024,2.81289,7.38069,2.34165,0.000422207,0.000422207,0.000422207
4,1297.47,2.08073,3.20106,2.01659,0.08218,0.00533,0.00376,0.0013,2.63723,5.66988,2.28365,0.00042208,0.00042208,0.00042208
5,1613,1.92607,2.91927,1.91658,0.57666,0.00853,0.00417,0.00124,2.69036,5.56641,2.29198,0.000417774,0.000417774,0.000417774
6,1930.12,1.88788,2.62791,1.84364,0.05001,0.03147,0.01121,0.00324,2.70391,5.23455,2.37126,0.000413467,0.000413467,0.000413467
7,2254.8,1.78588,2.41007,1.77119,0.01253,0.01339,0.00737,0.00246,2.47501,4.84511,2.30745,0.000409161,0.000409161,0.000409161
8,2571.37,1.78008,2.39694,1.77645,0.24395,0.0387,0.01491,0.00558,2.56576,4.56423,2.25868,0.000404854,0.000404854,0.000404854
9,2873.13,1.73299,2.2865,1.71374,0.16945,0.01797,0.0146,0.00417,2.54667,4.38027,2.27966,0.000400548,0.000400548,0.000400548
10,3154.7,1.62174,2.10814,1.65971,0.12438,0.04262,0.01865,0.00629,2.59177,4.47369,2.26119,0.000396242,0.000396242,0.000396242
11,3448.25,1.60506,2.02264,1.64624,0.18056,0.03967,0.03283,0.01328,2.56059,4.24535,2.36155,0.000391935,0.000391935,0.000391935
12,3757.11,1.58097,1.88345,1.60168,0.26979,0.0256,0.0408,0.01656,2.5985,4.15829,2.29821,0.000387629,0.000387629,0.000387629
13,4072.67,1.50928,1.81222,1.58148,0.31505,0.03588,0.05246,0.01412,2.62882,4.30204,2.41616,0.000383322,0.000383322,0.000383322
14,4389.62,1.47308,1.78858,1.54437,0.11531,0.05537,0.05396,0.02438,2.58363,4.20775,2.42331,0.000379015,0.000379015,0.000379015
15,4704.38,1.45348,1.78903,1.53394,0.32358,0.04152,0.02798,0.00886,2.5403,4.19896,2.35506,0.000374709,0.000374709,0.000374709
16,5019.12,1.39361,1.69052,1.48764,0.3411,0.04385,0.02467,0.00981,2.49147,4.09604,2.31582,0.000370403,0.000370403,0.000370403
17,5332.14,1.36006,1.59384,1.46831,0.13132,0.0595,0.02985,0.01179,2.48389,3.9891,2.24189,0.000366096,0.000366096,0.000366096
18,5648.22,1.32552,1.56286,1.45828,0.29548,0.07598,0.04884,0.02516,2.40891,3.77726,2.26057,0.00036179,0.00036179,0.00036179
19,5952.91,1.28792,1.5063,1.40821,0.19929,0.0593,0.03392,0.01048,2.46431,3.8298,2.24917,0.000357483,0.000357483,0.000357483
20,6260.31,1.2764,1.50809,1.42846,0.34192,0.09175,0.06637,0.03285,2.30765,3.71967,2.17304,0.000353177,0.000353177,0.000353177
